HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
jaguar	_	jaguar	0	0	0	0	0	0	0	0	0	0
zatvor	gevangenis	zapor	0	1	0	0	0	1	0	1	0	0
džem	jam, confituur, gelei	marmelada	1	0	0	0	0	0	0	0	0	0
zaglavljen	_	natrpan	0	0	0	0	0	0	0	0	0	0
domar	conciërge	hišnik	0	0	0	0	1	0	0	0	0	0
Japan	_	Japonska	0	0	0	0	0	0	0	0	0	0
staklenka	_	kozarec, vrč	0	0	0	0	0	0	0	0	0	0
žargon	jargon	žargon	0	1	0	0	0	0	0	0	0	0
neskladan	schokkend	moteč, neusklajen	0	1	0	0	0	1	0	1	0	0
jaspis	_	jaspis	0	0	0	0	0	0	0	0	0	0
žutica	geelzucht	zlatenica	0	1	0	0	0	1	0	0	0	0
izlet	_	izlet	0	0	0	0	0	0	0	0	0	0
koplje	_	kopje	0	0	0	0	0	0	0	0	0	0
čeljust	_	čeljust	0	0	0	0	0	0	0	0	0	0
čeljust	kaken	čeljust	0	0	0	0	0	1	0	0	0	0
šojka	_	šoja	0	0	0	0	0	0	0	0	0	0
ljubomoran	jaloers	ljubosumen	0	1	1	0	1	0	0	0	0	0
ljubomora	jaloezie	ljubosumje	0	1	1	0	1	1	0	1	0	0
traperice	_	kavbojke	0	0	0	0	0	0	0	0	0	0
džip	_	džip	0	0	0	0	0	0	0	0	0	0
žele	_	želatina, žele	0	0	0	0	0	0	0	0	0	0
dizalica	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ugroziti	in gevaar brengen	ogrožati	0	1	1	0	0	1	0	0	0	0
opasnost	gevaar, jeopardy	nevarnost, tveganje	0	1	0	1	0	1	0	0	0	0
gad	ruk, rukken, rukker	idiot, suniti	0	0	1	0	0	0	0	0	1	0
dres	_	pulover, dres	0	0	0	0	0	0	0	0	0	0
šala, šaliti se	mop, opmerking, grap	šala, šailiti se	1	0	0	0	0	0	1	0	1	0
šaljivac	_	šaljivec	0	0	0	0	0	0	0	0	0	0
mlaz	_	curek, leteti	0	0	0	0	0	0	0	0	0	0
brana	_	pomol	0	0	0	0	0	0	0	0	0	0
dragulj	_	dragulj	0	0	0	0	0	0	0	0	0	0
draguljar, zlatar	_	draguljar	0	0	0	0	0	0	0	0	0	0
nakit	_	nakit	0	0	0	0	0	0	0	0	0	0
flok	_	flok	0	0	0	0	0	0	0	0	0	0
tren	_	trenutek, takojšen	0	0	0	0	0	0	0	0	0	0
pajser	_	lomilka	0	0	0	0	0	0	0	0	0	0
zveckati, zveckanje	_	žvenketati, zvonjenje	0	0	0	0	0	0	0	0	0	0
posao	baan, job, werk	delo	1	0	0	0	0	0	0	0	0	0
sportaš	_	Škot	0	0	0	0	0	0	0	0	0	0
džokej	_	džokej	0	0	0	0	0	0	0	0	0	0
trčati	_	sunek, tek	0	0	0	0	0	0	0	0	0	0
zahod	john	stranišče	0	1	0	0	1	0	0	0	0	0
pridružiti, sjediniti, ujediniti	toetreden, erbij komen	pridružiti se	1	0	0	0	0	0	0	0	0	0
udružen	toegetreden, vergezeld	pridružen, vključen	1	0	0	0	0	0	0	0	0	0
spajanje	_	pridružiti	0	0	0	0	0	0	0	0	0	0
zajednički	_	sklep	0	0	0	0	0	0	0	0	0	0
zajednički	_	skupaj	0	0	0	0	0	0	0	0	0	0
psina	grap, mop	šala, zbadljivka	0	1	0	0	0	0	0	0	0	0
džoker	grappenmaker, joker	joker, šaljivec, džoker	1	0	0	0	0	0	1	0	1	0
duhovit, šaljiv	grappen maken	hecanje, norčevanje	1	0	0	0	0	0	0	0	0	0
trzaj	schok, schokken	sunek, poskočiti	0	0	0	0	0	0	0	0	1	0
naporan put	eendagsreis, city trip	dan hoda, naporna pot	0	1	0	0	0	0	0	0	0	0
zabilježiti	_	beležiti	0	0	0	0	0	0	0	0	0	0
časopis, dnevnik	_	revija	0	0	0	0	0	0	0	0	0	0
novinarstvo	journalistiek	novinarstvo	0	0	0	0	0	0	0	0	0	1
novinar	journalist	novinar	1	0	0	0	0	0	0	0	0	0
putovanje	reis	potovanje, pot	1	0	0	1	0	1	1	0	0	0
obrtnik	gezel, reiziger	strokovnjak	0	0	0	0	0	0	0	0	0	1
veseo, vedar	joviaal	prijazen, prisrčen	1	0	0	0	0	0	1	0	0	0
radost	vreugde, blijdschap	veselje	1	0	0	0	0	0	1	0	0	0
radostan	vreugdevol, blij	vesel, srečen, radosten	1	0	0	0	0	0	1	0	0	1
radostan	vreugdevol, blij	srečen, vesel	1	0	0	0	0	0	1	0	0	0
razdragan, oduševljen	jubelend	navdušen	1	0	0	0	0	0	1	0	1	1
jubilej	jubileum	jubilej	1	0	0	0	0	0	1	0	1	0
sudac	_	sodnik	0	0	0	0	0	0	0	0	0	0
sudeći	_	presojajoč	0	0	0	0	0	0	0	0	0	0
procjena, prosudba	oordeel	sodba, mnenje	0	0	0	0	0	0	0	0	1	0
sudski	gerechtelijk	soden	1	0	0	1	0	0	0	0	0	1
sudstvo	rechterlijk	sodniki, sodstvo	0	0	0	1	0	0	0	0	0	1
razuman	oordeelkundig	premišljen, moder	1	0	0	0	0	0	0	0	0	1
vrč	_	dušiti	0	0	0	0	0	0	0	0	0	0
žonglirati	_	žonglirati	0	0	0	0	0	0	0	0	0	0
žonglerstvo, žongliranje	_	žongliranje	0	0	0	0	0	0	0	0	0	0
sok	_	sok	0	0	0	0	0	0	0	0	0	0
sočan	_	sočen	0	0	0	0	0	0	0	0	0	0
zbrčkati, ispremetati	mengelmoes, wirwar, warboel	nered, zmešati	0	1	0	0	0	0	0	0	0	0
ispremiješan	_	zmeden	0	0	0	0	0	0	0	0	0	0
ogroman	_	ogromen, velikan	0	0	0	0	0	0	0	0	0	0
skok, skočiti	springen, sprong	skok, skočiti	1	0	0	0	0	0	1	0	0	0
spoj, čvor	_	priključek	0	0	0	0	0	0	0	0	0	0
spoj	_	točka	0	0	0	0	0	0	0	0	0	0
džungla	oerwoud	džungla	0	0	0	0	0	1	0	0	0	0
mlađi	_	mlajši	0	0	0	0	0	0	0	0	0	0
smeće	rommel, troep, rotzooi	krama, šara	0	1	0	0	0	0	0	0	0	0
hunta	junta	hunta	0	1	0	0	0	0	0	0	0	0
pravni	_	praven	0	0	0	0	0	0	0	0	0	0
nadležnost	_	jurisdikcija, sodna oblast	0	0	0	0	0	0	0	0	0	0
pravna znanost	jurisprudentie	pravo	0	0	0	0	0	0	0	1	0	0
pravnik	jurist	pravnik	0	0	0	0	0	0	0	0	0	1
porota	jury	porota, žirija	0	0	0	0	0	0	0	0	0	1
pravda	gerechtigheid	pravičnost, pravica	1	0	0	0	0	0	0	0	0	1
opravdan	gerechtvaardigd, rechtvaardigbaar	upravičljiv	1	0	0	0	0	0	0	0	0	1
opravdanje	rechtvaardiging	razlog	1	0	0	0	0	0	0	0	0	0
opravdati	_	upravičiti	0	0	0	0	0	0	0	0	0	0
juta	_	juta	0	0	0	0	0	0	0	0	0	0
djetinjast	jeugdig	otročji, infantilen	0	1	0	0	0	0	0	0	0	0
jukstapozicija	_	jukstapozicija	0	0	0	0	0	0	0	0	0	0
car	_	car	0	0	0	0	0	0	0	0	0	0
kaleidoskop	_	kalejdoskop	0	0	0	0	0	0	0	0	0	0
klokan	_	kenguru	0	0	0	0	0	0	0	0	0	0
kanji	_	kanji	0	0	0	0	0	0	0	0	0	0
karma	_	karma	0	0	0	0	0	0	0	0	0	0
kajak	_	kajak	0	0	0	0	0	0	0	0	0	0
kobilica	_	gredelj, prevrniti	0	0	0	0	0	0	0	0	0	0
čuvar	_	lastnik, paznik	0	0	0	0	0	0	0	0	0	0
čuvanje	_	vzdrževanje	0	0	0	0	0	0	0	0	0	0
uspomena	herinnering	spominek	1	0	0	0	0	0	0	0	0	0
bačvica	_	sodček	0	0	0	0	0	0	0	0	0	0
znanje	gezichtskring	poznati	1	0	0	0	0	0	0	0	0	0
štenara	hok, kennel	pesjak	0	0	0	0	0	0	0	1	0	0
vucibatina, skitnica	kern	kmetavz	0	1	0	0	0	0	0	0	0	0
zrno	_	jedro, pečka	0	0	0	0	0	0	0	0	0	0
kerozin	kerosine, olie	kerozin	0	0	0	0	0	1	0	0	0	0
čajnik	_	kotliček, čajnik	0	0	0	0	0	0	0	0	0	0
ključ	_	ključ	0	0	0	0	0	0	0	0	0	0
ključanica	_	ključavnica	0	0	0	0	0	0	0	0	0	0
glavna tema	grondtoon	glavna tema, osnovna misel	1	0	0	0	0	0	0	0	0	0
glavno načelo	hoeksteen	sklepnik	1	0	0	0	0	0	0	0	0	0
kaki	_	kaki	0	0	0	0	0	0	0	0	0	0
kan	khan	kan	0	0	0	0	0	1	0	0	0	1
udarac, udariti	trap, trappen, stampen	brca, brcniti	0	1	1	0	0	0	0	0	0	0
udaranje	schoppen, schoppend	brcanje	0	0	1	0	0	0	0	0	0	0
dijete	_	otrok, mladostnik	0	0	0	0	0	0	0	0	0	0
šala	_	šaliti se, hecati	0	0	0	0	0	0	0	0	0	0
oteti, kidnapirati	ontvoeren, ontvoering	ugrabiti, ugrabitev	0	1	1	0	0	1	0	1	1	0
ubiti	doden	ubiti	0	1	0	0	0	1	0	1	0	0
ubijanje, ubojstvo, umorstvo	doden	ubijanje, uboj	0	1	1	0	0	1	0	1	0	0
peć	_	peč	0	0	0	0	0	0	0	0	0	0
kilogram	_	kilogram, kg	0	0	0	0	0	0	0	0	0	0
kilometar	_	kilometer, km	0	0	0	0	0	0	0	0	0	0
kilt	_	kilt	0	0	0	0	0	0	0	0	0	0
kimono	_	kimono	0	0	0	0	0	0	0	0	0	0
rod, srodnik	_	rod, sorodstvo	0	0	0	0	0	0	0	0	0	0
ljubazan, drag	soort	prijazen, ljubezniv	1	0	0	0	0	0	1	0	0	1
vrtić	_	vrtec	0	0	0	0	0	0	0	0	0	0
ljubaznost, dobrota	vriendelijkheid	prijaznost	1	0	0	0	0	0	0	0	0	0
srodan	verwanten, verwant	soroden, podoben	1	0	0	1	0	0	1	0	0	1
kinematika	_	kinematika	0	0	0	0	0	0	0	0	0	0
kralj	koning	kralj	1	0	0	0	0	0	0	0	0	0
kraljevstvo	_	kraljestvo	0	0	0	0	0	0	0	0	0	0
kovrča	_	koder, pentlja, zanka	0	0	0	0	0	0	0	0	0	0
kovrčav	_	skodran, perverzen	0	0	0	0	0	0	0	0	0	0
kiosk	_	kiosk	0	0	0	0	0	0	0	0	0	0
crkva	_	cerkev	0	0	0	0	0	0	0	0	0	0
poljubac, poljubiti	kus, kussen	poljub, poljubiti	1	0	0	1	0	0	1	0	1	0
oprema	_	oprema, komplet, kit	0	0	0	0	0	0	0	0	0	0
kuhinja	_	kuhinja	0	0	0	0	0	0	0	0	0	0
grabežljivac, predator	vlieger	predator, ropar, grabežljivec, jastreb	0	1	0	0	1	0	0	0	0	0
mače	katje, poesje, kitten	mucka	1	0	0	0	0	0	1	0	0	1
talent	handigheid	spretnost	1	0	0	0	0	0	0	0	0	0
naprtnjača, ruksak	_	nahrbtnik, oprtnik	0	0	0	0	0	0	0	0	0	0
mijesiti	_	oblikovati, mesti	0	0	0	0	0	0	0	0	0	0
koljeno	_	koleno	0	0	0	0	0	0	0	0	0	0
kleknuti	_	klečati	0	0	0	0	0	0	0	0	0	0
klečeći	_	kleče	0	0	0	0	0	0	0	0	0	0
posmrtno zvono	doodsklok	mrtvaški zvon	0	1	0	0	0	1	0	1	0	0
gaćice	onderbroek	pumparice	0	0	0	0	0	0	0	0	0	1
nož	_	nož	0	0	0	0	0	0	0	0	0	0
vitez	ridder	vitez	1	0	0	0	0	0	0	0	0	0
plesti	_	plesti	0	0	0	0	0	0	0	0	0	0
gumb, kvaka	_	gumb, izrastek	0	0	0	0	0	0	0	0	0	0
kucati	_	potrkati	0	0	0	0	0	0	0	0	0	0
brežuljak	_	grič, hrib	0	0	0	0	0	0	0	0	0	0
čvor	_	vozel	0	0	0	0	0	0	0	0	0	0
zamršen, zapleten	geknoopt	zavozlan, napet	0	1	0	0	0	0	0	0	0	0
poznavanje	wetende	poznavalski	1	0	0	0	0	0	0	0	0	0
svjesno	_	zgovorno, zavestno	0	0	0	0	0	0	0	0	0	0
znanje	kennis	vedenje	1	0	0	0	0	0	0	0	0	0
zglob	_	členek	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
kris	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
pohvala	roem, lof, respect	sloves	1	0	0	0	0	0	1	0	0	0
laboratorij	_	laboratorij	0	0	0	0	0	0	0	0	0	0
označiti, oznaka	etiket, label	oznaka, označiti	0	0	0	0	0	0	0	0	0	1
trud	arbeid	porod, delo, trud	1	0	0	1	0	0	1	0	1	1
laboratorij	_	laboratorijski	0	0	0	0	0	0	0	0	0	0
naporan	moeizaam	mučen	0	1	0	0	0	0	0	1	0	0
radnik	_	delavec	0	0	0	0	0	0	0	0	0	0
radni	_	garajoč, garanje	0	0	0	0	0	0	0	0	0	0
mučan	moeizaam	težaven	0	1	0	0	0	0	0	0	0	0
labirint	labyrint	labirint	0	1	0	1	0	0	0	0	0	0
lak	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
čipka	veter, snoer, kant, kantwerk, vlechten, insnoeren	čipka, vezalka, zavezati	1	1	1	0	0	1	0	1	0	1
nedostatak, pomanjkanje	gebrek	pomanjkanje, manjkati	0	1	0	0	0	0	0	0	0	0
nedostatan	ontbreken	manjkanje	0	1	0	0	0	0	0	0	0	0
bezličan, razočaravajući	dof	medel	0	1	0	0	0	0	0	0	0	0
lak	_	lak	0	0	0	0	0	0	0	0	0	0
lacrosse	_	lacrosse	0	0	0	0	0	0	0	0	0	0
momak	_	dečko	0	0	0	0	0	0	0	0	0	0
ljestve	_	lestev	0	0	0	0	0	0	0	0	0	0
opterećen	beladen	obremenjen	0	1	0	0	0	0	0	0	0	0
tovarenje	_	tovor	0	0	0	0	0	0	0	0	0	0
kutlača, šeflja, zaimača	_	zajemalka	0	0	0	0	0	0	0	0	0	0
dama	_	gospa	0	0	0	0	0	0	0	0	0	0
zaostajati, zaostati	vertraging	zaostanek, zaostati	0	1	0	0	0	0	0	0	0	0
zaostajanje	vertragen	ponehanje	0	1	1	1	1	0	0	1	0	0
laguna	_	laguna	0	0	0	0	0	0	0	0	0	0
jazbina	hol	brlog, skrivališče	0	1	0	0	0	0	0	0	0	0
laik	_	laičnost, laik	0	0	0	0	0	0	0	0	0	0
jezero	_	jezero	0	0	0	0	0	0	0	0	0	0
lama	_	lama	0	0	0	0	0	0	0	0	0	0
janjetina, janje	lam	jagnje, jagnjetina	1	0	0	0	0	0	1	0	0	1
naricati, oplakivati, jadikovati	weeklacht	žalostinka, žalovati	0	1	0	0	1	1	0	1	0	0
žalovanje	weeklagen	žalovanje	0	0	0	0	0	0	0	1	0	0
lamina	_	lamina	0	0	0	0	0	0	0	0	0	0
laminiran	_	laminiran	0	0	0	0	0	0	0	0	0	0
svjetiljka, lampa	_	svetilka	0	0	0	0	0	0	0	0	0	0
koplje	_	kopje	0	0	0	0	0	0	0	0	0	0
kopljanik	_	kopjenosec	0	0	0	0	0	0	0	0	0	0
zemljište, sletjeti	land	zemlja, pristati	1	0	0	0	0	0	0	0	0	0
iskrcan	geland	izkrcan	1	0	0	0	0	0	0	0	0	0
slijetanje, iskrcavanje	_	pristanek	0	0	0	0	0	0	0	0	0	0
kopneni	_	kopenski	0	0	0	0	0	0	0	0	0	0
posjednik	_	najemodajalec	0	0	0	0	0	0	0	0	0	0
znamenitost	mijlpaal	mejnik, točka	0	0	0	0	0	0	0	0	0	1
zemljišta	_	zemljišče	0	0	0	0	0	0	0	0	0	0
pejzaž	_	pokrajina	0	0	0	0	0	0	0	0	0	0
uređenje pejzaža	_	oblikovati	0	0	0	0	0	0	0	0	0	0
klizište	aardverschuiving	plaz	0	1	0	0	0	1	0	1	0	0
traka	_	steza, proga	0	0	0	0	0	0	0	0	0	0
jezik	_	jezik	0	0	0	0	0	0	0	0	0	0
mlitav, trom, slab	loom, traag, hangerig	lenoben	0	1	0	0	0	0	0	0	0	0
slabiti, kopnjeti, venuti	wegkwijnen, verkommeren	hirati	0	1	0	0	0	0	0	0	0	0
malaksao, oslabljen	kwijnend	hiranje	0	1	0	0	0	1	0	1	0	0
visok	_	preklast	0	0	0	0	0	0	0	0	0	0
fenjer	_	svetilka	0	0	0	0	0	0	0	0	0	0
krug	_	krog	0	0	0	0	0	0	0	0	0	0
rever	_	zavihek	0	0	0	0	0	0	0	0	0	0
propust	verloop	spodrsljaj	0	1	0	0	0	0	0	0	0	0
posrnuo	_	neaktiven, zapadel	0	0	0	0	0	0	0	0	0	0
krađa, lopovluk	diefstal	tatvina	0	1	0	0	1	0	0	0	0	0
mast	_	mast, zaseka	0	0	0	0	0	0	0	0	0	0
ostava, smočnica, špajza	_	shramba	0	0	0	0	0	0	0	0	0	0
velik	_	velik	0	0	0	0	0	0	0	0	0	0
veći	grotere	širši	0	0	0	0	1	0	0	0	1	1
largo	_	largo	0	0	0	0	0	0	0	0	0	0
ševa	_	škrjanec, štos	0	0	0	0	0	0	0	0	0	0
larva, ličinka	_	ličinka	0	0	0	0	0	0	0	0	0	0
grkljan	_	grlo	0	0	0	0	0	0	0	0	0	0
laser	laser	laser	1	0	0	0	0	0	0	0	0	1
bič, bičevati	zweepslag, wimper	bič	0	1	1	0	0	1	0	0	0	0
djevojka	_	deklič, hči, ljubica	0	0	0	0	0	0	0	0	0	0
laso	_	laso, loviti	0	0	0	0	0	0	0	0	0	0
trajan	_	trajen	0	0	0	0	0	0	0	0	0	0
zasun	_	zapah	0	0	0	0	0	0	0	0	0	0
kasno	laat, zaliger	pozen	0	1	0	0	0	0	0	1	0	0
kašnjenje	laatheid	zamujanje	0	1	0	0	0	0	0	0	0	0
latentan	latent	skrit	0	1	1	1	1	0	0	0	1	0
bočni	_	bočen, stranski	0	0	0	0	0	0	0	0	0	0
bočno	_	neobičajen	0	0	0	0	0	0	0	0	0	0
lateks	_	lateks	0	0	0	0	0	0	0	0	0	0
tokarilica	_	stružnica	0	0	0	0	0	0	0	0	0	0
sapunica	_	peniti	0	0	0	0	0	0	0	0	0	0
širina	_	zemljepisna širina	0	0	0	0	0	0	0	0	0	0
zahod	latrines	latrina	0	1	0	0	1	0	0	0	0	0
rešetka	_	mreža	0	0	0	0	0	0	0	0	0	0
pohvalan	prijzenswaardig, lovenswaardig	hvalevreden	1	0	0	0	0	0	0	0	0	0
smijeh, smijati se	lach	smeh, smejati se	1	0	0	0	0	0	1	0	1	0
jadan	lachwekkend	zasmehljiv	0	1	0	0	1	0	0	0	0	0
smijanje	lachend, lachen	nasmejan, smejanje	1	0	0	0	0	0	1	0	0	0
smijeh	gelach	smeh, krohot	1	0	0	1	0	0	1	0	1	0
lansiranje	lancering	lansiranje, začeti	1	0	0	1	0	0	0	0	0	0
rublje	_	perilo, pralnica	0	0	0	0	0	0	0	0	0	0
laureat	laureaat	nagrajenec	1	0	0	0	0	0	0	0	0	1
lovor	laurier	lovor	1	0	0	0	0	0	0	0	0	0
lovorike	lauweren	lovrov venec, lovorika	1	0	0	0	0	0	1	0	0	0
lava	lava	lava	0	1	1	0	0	1	0	0	0	0
ispiranje	_	spiranje	0	0	0	0	0	0	0	0	0	0
toalet	toilet	stranišče	0	0	0	0	1	0	0	0	0	0
lavanda	_	sivka	0	0	0	0	0	0	0	0	0	0
raskošan	uitbundig, genereus, gul	razkošen	1	0	0	0	0	0	0	0	0	0
zakon	wet	zakon	0	0	0	0	0	0	0	0	0	1
zakonit	rechtmatig	zakonit	1	0	0	0	0	0	0	0	0	1
bezakonje	wetteloosheid	brezzakonje	0	1	1	0	0	1	0	0	0	0
travnjak	_	trata	0	0	0	0	0	0	0	0	0	0
tužba	rechtszaak	tožba, pravda	0	1	1	0	1	1	0	1	1	0
odvjetnik	advocaat	odvetnik	0	1	1	0	1	1	0	0	0	0
labav	laks	površen	0	1	0	0	0	0	0	1	0	0
laksativ	laxeermiddel	odvajalo, odvajalen	0	1	0	0	1	1	0	0	0	0
položiti	_	ležati, položiti	0	0	0	0	0	0	0	0	0	0
sloj	_	plast	0	0	0	0	0	0	0	0	0	0
slojevit	_	stopničast	0	0	0	0	0	0	0	0	0	0
laik	_	laik	0	0	0	0	0	0	0	0	0	0
lijen	lui	len	0	1	0	0	0	0	0	0	0	0
ledina, poljana	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
voditi	leiden	voditi	1	0	0	0	0	0	0	0	0	0
vođa	leider	vodja	1	0	0	0	0	0	0	0	0	1
vodeći	leidend	vodilen, glaven	0	0	0	0	0	0	0	0	0	1
krov	_	voditi	0	0	0	0	0	0	0	0	0	0
list	_	list	0	0	0	0	0	0	0	0	0	0
letak	_	letak	0	0	0	0	0	0	0	0	0	0
lisnat	_	listnat	0	0	0	0	0	0	0	0	0	0
liga	liga, klasse	liga	1	0	0	0	0	0	0	0	0	0
istjecati	lek, lekken	puščati	0	1	0	0	0	0	0	0	0	0
istjecanje	lekkage	uhajanje	0	1	0	0	0	0	0	0	0	0
šupalj	lek	puščajoč	0	1	0	0	0	0	0	0	0	0
nagnuti se	_	vitek	0	0	0	0	0	0	0	0	0	0
nagnut, naslonjen	_	naslonjen	0	0	0	0	0	0	0	0	0	0
nagnut	neigen, leunen, aanleunen	opiranje, naslonjen	0	0	0	0	0	0	0	0	0	1
skok, skočiti	_	skok	0	0	0	0	0	0	0	0	0	0
naučiti	leren	učiti se	1	0	0	0	0	0	0	0	0	0
naučen	_	naučen	0	0	0	0	0	0	0	0	0	0
učenik	_	učenec	0	0	0	0	0	0	0	0	0	0
učenje	aan het leren	učenje	1	0	0	0	0	0	0	0	0	0
zakup	_	najem, najeti	0	0	0	0	0	0	0	0	0	0
povodac	_	povodec	0	0	0	0	0	0	0	0	0	0
koža	_	usnje	0	0	0	0	0	0	0	0	0	0
kožnat	_	usnjen	0	0	0	0	0	0	0	0	0	0
napustiti	verlof, weggaan, verlaten	oditi	0	1	0	0	0	0	0	1	1	0
predavanje	_	predavanje	0	0	0	0	0	0	0	0	0	0
predavač	lector	predavatelj	1	0	0	0	0	0	0	0	0	0
izbočina	_	polica	0	0	0	0	0	0	0	0	0	0
registrator	_	knjiga	0	0	0	0	0	0	0	0	0	0
zavjetrina	_	zavetrje	0	0	0	0	0	0	0	0	0	0
pijavica	bloedzuiger	izkoriščati	0	1	0	0	0	0	0	0	0	0
pijavica	bloedzuigers	pijavka, krvoses	0	1	0	0	1	1	0	0	0	0
zuriti	grijns, blik	izpraznjen	0	1	0	0	1	0	0	0	0	0
oprezan	sluw	nezaupljiv	0	0	0	0	0	0	0	0	1	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
manevarski prostor	speelruimte	manevrski prostor	1	0	0	0	0	0	0	0	0	0
lijevo	_	leva	0	0	0	0	0	0	0	0	0	0
noga	_	noga	0	0	0	0	0	0	0	0	0	0
nasljeđe, baština, ostavština	_	zapuščina	0	0	0	0	0	0	0	0	0	0
zakonit, legalan	wettelijk, legaal	zakonit, legalen	1	0	0	0	0	0	0	0	0	1
zakonitost, legalnost	_	zakonitost, legalnost	0	0	0	0	0	0	0	0	0	0
ozakoniti, legalizirati	_	legalizirati	0	0	0	0	0	0	0	0	0	0
legaliziran, ozakonjen	gelegaliseerd	legaliziran	1	0	1	0	0	1	1	0	0	1
legalno	_	zakonit, praven	0	0	0	0	0	0	0	0	0	0
legenda	_	legenda	0	0	0	0	0	0	0	0	0	0
legendaran	legendarisch	legendaren	1	0	0	0	0	0	0	0	0	0
čitljivost, čitkost	leesbaarheid	čitljivost	1	0	0	0	0	0	0	0	0	0
čitak, čitljiv	leesbaar	čitljiv	1	0	0	0	0	0	0	0	0	0
legija	_	legija, armada	0	0	0	0	0	0	0	0	0	0
donositi zakon	_	zakonsko urediti	0	0	0	0	0	0	0	0	0	0
zakonodavstvo	_	zakonodaja	0	0	0	0	0	0	0	0	0	0
zakonodavni	_	zakonodajen	0	0	0	0	0	0	0	0	0	0
zakonodavac	wetgever	zakonodajalec	0	0	0	0	0	0	0	0	0	1
zakonodavno tijelo	wetgevende macht, legislatuur	zakonodajno telo	0	0	0	0	0	0	0	0	0	1
legitimitet	wettigheid	legitimnost	0	0	0	0	0	0	0	0	0	1
noge	_	bedro, hlačnica	0	0	0	0	0	0	0	0	0	0
mahuna, mahunarka	_	stročnica	0	0	0	0	0	0	0	0	0	0
slobodno vrijeme	vrije tijd	prosti čas	1	0	0	1	0	0	1	0	1	1
ležerno	rustig	lagoden, lagodno	1	0	0	0	0	0	0	0	0	0
lema	lemma	lema	1	0	0	0	0	0	0	0	0	0
limun	citroen	limona	0	1	0	0	1	0	0	0	0	0
posuditi	_	posoditi	0	0	0	0	0	0	0	0	0	0
zajmodavac	geldschieter	posojevalec	0	0	0	0	0	0	0	0	0	1
posuđivanje	_	posojanje	0	0	0	0	0	0	0	0	0	0
dužina	_	dolžina	0	0	0	0	0	0	0	0	0	0
produžiti	_	podaljšati	0	0	0	0	0	0	0	0	0	0
produžen	_	podaljšan	0	0	0	0	0	0	0	0	0	0
produživanje	_	podaljšanje	0	0	0	0	0	0	0	0	0	0
po dužini	_	vzdolžen, po dolgem	0	0	0	0	0	0	0	0	0	0
podugačak	_	dolgotrajen, zamuden	0	0	0	0	0	0	0	0	0	0
blagost	_	prizanesljivost, popustljivost	0	0	0	0	0	0	0	0	0	0
blag, milostiv	mild	prizanesljiv	1	0	0	0	0	0	0	0	0	0
leća, objektiv	_	leča, objektiv	0	0	0	0	0	0	0	0	0	0
leopard	_	leopard	0	0	0	0	0	0	0	0	0	0
guba	lepra	gobavost	0	1	0	0	1	1	0	1	0	0
lezbača	lesbienne, lesbisch	lezbijka, lezba, peder, toplovodar, topli bratec, topli	0	1	0	0	1	0	0	1	0	0
lezbijstvo, lezbijanizam	_	lezbijstvo	0	0	0	0	0	0	0	0	0	0
zakupac	_	najemnik, najemojemalec	0	0	0	0	0	0	0	0	0	0
umanjiti	verminderen	zmanjšati	0	1	0	1	0	0	0	0	0	0
smanjivanje	_	omiljenje	0	0	0	0	0	0	0	0	0	0
lošiji	minder	manjši, slabši	0	1	0	0	1	0	0	0	0	0
lekcija	les	učna ura, pouk	1	0	0	1	0	0	0	0	0	1
najmodavac	_	najemodajalec	0	0	0	0	0	0	0	0	0	0
smrtonosan, ubojit	dodelijk	smrtonosen	0	1	0	0	1	1	0	1	0	0
letargičan	_	letargičen, zaspan	0	0	0	0	0	0	0	0	0	0
letargija	lusteloosheid	zaspanost, otopelost	0	1	0	0	0	0	0	1	0	0
pismo	brief, letter	pismo	0	0	0	1	0	0	0	0	0	0
obrazovan	beletterd, geletterd	študiran	1	0	0	1	0	0	0	0	0	1
beletristika	_	leposlovje, beletristika	0	0	0	0	0	0	0	0	0	0
salata	_	solata	0	0	0	0	0	0	0	0	0	0
leukemija	leukemie	levkemija	0	1	1	0	0	1	0	1	0	0
nasip	oeverwal, oever, dijk	nasip	0	0	0	0	0	0	0	0	0	1
uravnotežen	niveau	raven, uravnotežen	1	0	0	0	0	0	0	0	0	1
poluga, ručica	_	ročica, vzvod	0	0	0	0	0	0	0	0	0	0
prednost	hefboom	vzvod	1	0	0	0	0	0	0	0	0	0
nametanje	heffing	dajatev	0	1	0	0	0	0	0	0	0	0
nepristojan, razvratan, raskalašen, prostački	ontuchtig, onzedelijk, ontuchtig	nespodoben, prostaški	0	1	0	0	1	0	0	0	0	0
leksikon	_	leksikon	0	0	0	0	0	0	0	0	0	0
pašnjak, livada	_	pašnik	0	0	0	0	0	0	0	0	0	0
pasiva	_	pasiva, obveznosti	0	0	0	0	0	0	0	0	0	0
